"Sample","Drug Class","TPM","Percet_abundance"
"AB1286","oxazolidinone antibiotic; phenicol antibiotic",62829.2561070129,6.57121371999733
"AB1286","phenicol antibiotic",299966.328376459,31.3730095611397
"AB1286","rifamycin antibiotic",225936.616493619,23.6303576732453
"AB1288","aminocoumarin antibiotic",152070.220388532,15.5977667682041
"AB1288","aminoglycoside antibiotic",73535.6732484238,7.54251738138649
"AB1288","lincosamide antibiotic",99405.2588971956,10.1959478972934
"AB1288","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",94322.0354308618,9.674564198
"AB1288","macrolide antibiotic; streptogramin antibiotic",58411.9571985632,5.99128535836735
"AB1288","oxazolidinone antibiotic; phenicol antibiotic",77725.300973515,7.97224541054704
"AB1288","phenicol antibiotic",226867.869476563,23.2697243829446
"AB1288","rifamycin antibiotic",192610.359080765,19.755948603257
"AB1290","aminoglycoside antibiotic",66782.9228183549,6.67829228183549
"AB1290","macrolide antibiotic",577856.65241109,57.785665241109
"AB1290","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",43510.0860786251,4.35100860786251
"AB1290","phenicol antibiotic",87908.1330976304,8.79081330976304
"AB1290","rifamycin antibiotic",223942.2055943,22.39422055943
"AB1292","aminocoumarin antibiotic",195467.678699467,20.2457654172071
"AB1292","aminoglycoside antibiotic",60419.8301471041,6.25804591247292
"AB1292","lincosamide antibiotic",64248.7989749012,6.6546352882365
"AB1292","macrolide antibiotic; streptogramin antibiotic",98857.2168135235,10.2392376822657
"AB1292","oxazolidinone antibiotic; phenicol antibiotic",69077.5497108659,7.15477810115044
"AB1292","phenicol antibiotic",326980.494782979,33.8673403062036
"AB1292","rifamycin antibiotic",150422.813644242,15.5801972924637
"AB1293","lincosamide antibiotic",67195.3082577099,6.71953082577099
"AB1293","macrolide antibiotic",845801.066781095,84.5801066781095
"AB1293","rifamycin antibiotic",87003.6249611951,8.70036249611951
"AB1409","aminocoumarin antibiotic",154519.623367903,15.4519623367903
"AB1409","aminoglycoside antibiotic",37913.9973144222,3.79139973144222
"AB1409","macrolide antibiotic",391137.298739358,39.1137298739358
"AB1409","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",79365.4250002858,7.93654250002858
"AB1409","macrolide antibiotic; streptogramin antibiotic",25066.2932724337,2.50662932724337
"AB1409","phenicol antibiotic",166459.145029754,16.6459145029754
"AB1409","rifamycin antibiotic",145538.217275844,14.5538217275844
"AB1410","phenicol antibiotic",1e+06,100
"AB1413","aminoglycoside antibiotic",159332.872350335,18.3442335397939
"AB1413","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",469119.033326167,54.0103807730009
"AB1413","phenicol antibiotic",184088.635748445,21.1944018605676
"AB1413","rifamycin antibiotic",56031.4379095769,6.45098382663767
"AB1414","aminocoumarin antibiotic",131202.311201794,13.1202311201794
"AB1414","macrolide antibiotic",470761.887549168,47.0761887549168
"AB1414","macrolide antibiotic; streptogramin antibiotic",49207.2209389138,4.92072209389138
"AB1414","phenicol antibiotic",257139.682146694,25.7139682146694
"AB1414","rifamycin antibiotic",91688.8981634306,9.16888981634306
"AB1416","aminocoumarin antibiotic",81207.8969374333,8.12078969374333
"AB1416","lincosamide antibiotic",40616.3113881732,4.06163113881732
"AB1416","macrolide antibiotic",309496.915727441,30.9496915727441
"AB1416","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",186273.481110723,18.6273481110723
"AB1416","oxazolidinone antibiotic; phenicol antibiotic",33604.4253139193,3.36044253139193
"AB1416","phenicol antibiotic",233595.597001624,23.3595597001624
"AB1416","rifamycin antibiotic",115205.372520686,11.5205372520686
"AB1515","aminocoumarin antibiotic",134879.168656501,15.4334246688696
"AB1515","macrolide antibiotic",581712.282324572,66.5618922301964
"AB1515","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",28511.0437810489,3.26234993000495
"AB1515","macrolide antibiotic; streptogramin antibiotic",10695.6928166875,1.22384480132812
"AB1515","rifamycin antibiotic",118143.737498665,13.518488369601
"AB1517","aminoglycoside antibiotic",42853.1260741815,4.40470560089013
"AB1517","macrolide antibiotic",450577.522797507,46.3131052531804
"AB1517","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",81629.6919402021,8.39039748618412
"AB1517","macrolide antibiotic; streptogramin antibiotic",27231.7894757114,2.79904937199422
"AB1517","phenicol antibiotic",244437.729341505,25.1248003152814
